day,status,provider,positions
2023-02-16,unavailable,archive,0
2023-02-17,unavailable,archive,0
2023-02-18,unavailable,archive,0
2023-02-19,unavailable,archive,0
2023-02-20,unavailable,archive,0
2023-02-21,unavailable,archive,0
2023-02-22,unavailable,archive,0
2023-02-23,unavailable,archive,0
2023-02-24,unavailable,archive,0
2023-02-25,unavailable,archive,0
2023-02-26,unavailable,archive,0
2023-02-27,unavailable,archive,0
2023-02-28,unavailable,archive,0
2023-03-01,unavailable,archive,0
2023-03-02,unavailable,archive,0
2023-03-03,unavailable,archive,0
2023-03-04,unavailable,archive,0
2023-03-05,unavailable,archive,0
2023-03-06,unavailable,archive,0
2023-03-07,unavailable,archive,0
2023-03-08,unavailable,archive,0
2023-03-09,unavailable,archive,0
2023-03-10,unavailable,archive,0
2023-03-11,unavailable,archive,0
2023-03-12,unavailable,archive,0
2023-03-13,unavailable,archive,0
2023-03-14,unavailable,archive,0
2023-03-15,unavailable,archive,0
2023-03-16,unavailable,archive,0
2023-03-17,unavailable,archive,0
2023-03-18,unavailable,archive,0
2023-03-19,unavailable,archive,0
2023-03-20,unavailable,archive,0
2023-03-21,unavailable,archive,0
2023-03-22,unavailable,archive,0
2023-03-23,unavailable,archive,0
2023-03-24,unavailable,archive,0
2023-03-25,unavailable,archive,0
2023-03-26,unavailable,archive,0
2023-03-27,unavailable,archive,0
2023-03-28,unavailable,archive,0
2023-03-29,unavailable,archive,0
2023-03-30,unavailable,archive,0
2023-03-31,unavailable,archive,0
2023-04-01,unavailable,archive,0
2023-04-02,unavailable,archive,0
2023-04-03,unavailable,archive,0
2023-04-04,unavailable,archive,0
2023-04-05,unavailable,archive,0
2023-04-06,unavailable,archive,0
2023-04-07,unavailable,archive,0
2023-04-08,unavailable,archive,0
2023-04-09,unavailable,archive,0
2023-04-10,unavailable,archive,0
2023-04-11,unavailable,archive,0
2023-04-12,unavailable,archive,0
2023-04-13,unavailable,archive,0
2023-04-14,unavailable,archive,0
2023-04-15,unavailable,archive,0
2023-04-16,unavailable,archive,0
2023-04-17,unavailable,archive,0
2025-01-01,unavailable,archive,0
2025-01-02,empty,archive,0
2025-01-03,empty,archive,0
2025-01-04,empty,archive,0
2025-01-05,empty,archive,0
2025-01-06,empty,archive,0
2025-01-07,empty,archive,0
2025-01-08,empty,archive,0
2025-01-09,empty,archive,0
2025-01-10,empty,archive,0
2025-01-11,unavailable,archive,0
2025-01-12,empty,archive,0
2025-01-13,empty,archive,0
2025-01-14,empty,archive,0
2025-01-15,empty,archive,0
2025-01-16,completed,archive,304
2025-01-17,completed,archive,342
2025-01-18,unavailable,archive,0
2025-01-19,unavailable,archive,0
2025-01-20,completed,archive,653
2025-01-21,unavailable,archive,0
2025-01-22,empty,archive,0
2025-01-23,empty,archive,0
2025-01-24,empty,archive,0
2025-01-25,empty,archive,0
2025-01-26,empty,archive,0
2025-01-27,completed,archive,1430
2025-01-28,completed,archive,1259
2025-01-29,empty,archive,0
2025-01-30,empty,archive,0
2025-01-31,completed,archive,348
2025-02-01,empty,archive,0
2025-02-02,completed,archive,358
2025-02-03,completed,archive,428
2025-02-04,completed,archive,430
2025-02-05,completed,archive,636
2025-02-06,completed,archive,548
2025-02-07,empty,archive,0
2025-02-08,empty,archive,0
2025-02-09,empty,archive,0
2025-02-10,completed,archive,1333
2025-02-11,completed,archive,616
2025-02-12,empty,archive,0
